上文	-13.831265
上旬	-12.558102
上映	-11.898606
上朝	-16.559982
上来	-10.168388
上校	-12.657300
上流	-13.028585
上浆	-15.678951
上浮	-12.716743
上海	-7.926464
上涨	-10.342340
上游	-11.204449
上溯	-14.003249
上演	-11.128069
上火	-14.097912
上焦	-15.363247
上班	-10.426332
上甘岭	-15.217351
上瘾	-13.576581
上皮	-12.749656
上空	-11.628057
上等兵	-15.668075
上策	-13.832380
上级	-10.539812
上缴	-12.379302
上网	-9.776079
上联	-16.429129
上肢	-13.501307
上膛	-15.408313
上臂	-14.337919
上色	-16.865582
上苍	-13.801117
上虞	-13.219072
上行	-13.396796
上行下效	-16.110554
上衣	-11.996675
上装	-13.492219
上访	-11.705489
上诉	-11.100173
上课	-11.096385
上调	-12.689935
上路	-12.348246
上蹿下跳	-16.106169
上身	-12.604773
上轨道	-15.619852
上载	-13.344157
上辈	-16.374546
上辈子	-14.882863
上边	-12.946045
上进	-14.213654
上述	-9.245392
上钩	-13.719745
上镜	-15.023538
上门	-11.157326
上阵	-12.437293
上限	-11.878737
上面	-9.550582
上颌	-14.290895
上颚	-15.954329
上风	-12.756254
上饶	-13.609444
上马	-12.583447
下	-6.289713
下三烂	-16.434872
下不为例	-16.386673
下不来	-14.714823
下中农	-14.461668
下乘	-16.325197
下九流	-16.495983
下令	-11.406837
下体	-13.240891
下凡	-13.707819
下列	-9.709572
下午	-9.655595
下半场	-12.322740
下半夜	-14.985860
下半旗	-15.952976
下半时	-13.489192
下去	-9.245233
下台	-12.214558
下场	-12.011964
下坠	-13.811075
下坡路	-13.745270
下士	-14.792169
下头	-12.832961
下子	-11.170649
下定	-12.743811
下层	-12.605256
下属	-11.023584
下岗	-10.500518
下工夫	-13.685327
下巴	-12.197761
下巴颏	-16.146290
下弦	-15.747972
下怀	-15.460028
下意识	-12.685694
下手	-11.431953
下挫	-12.528789
下摆	-14.002882
下放	-12.390903
下文	-12.590636
下旬	-11.863647
下来	-8.794424
下榻	-12.760835
下水	-12.465322
下水道	-12.737932
下泄	-14.546273
下泻	-15.466530
下流	-12.579556
下浮	-14.320756
下海	-13.080440
下游	-10.997529
下焦	-14.645767
下狱	-14.586676
下班	-11.409688
下界	-16.233858
下疳	-15.179032
下笔	-13.958651
下策	-14.382250
下箸	-16.584482
下级	-12.117476
下联	-15.098090
下肢	-12.504838
下脚	-14.095181
下腰	-13.512558
下船	-14.075479
下药	-16.173197
下落	-11.705792
下葬	-14.387470
下蛋	-14.491553
下行	-13.080953
下课	-12.467950
下调	-11.737284
下贱	-14.236656
下跌	-10.505647
下身	-12.485842
下载	-9.505597
下辈子	-14.234770
下边	-12.990721
下达	-11.304819
下酒	-14.409021
下里巴人	-15.796909
下野	-14.931651
下降	-9.420111
下限	-13.025937
下陷	-13.626721
下面	-9.554354
下颌	-13.414493
下颚	-14.265629
下风	-13.512753
下饭	-14.791600
下马	-12.766850
下马威	-14.710593
丌	-13.173055
不	-4.889450
不下	-11.731036
不下于	-14.818213
不久	-9.927754
不乏	-11.670304
不了	-10.932306
不争	-13.158364
不人道	-14.250701
不仁	-14.665762
不仅	-8.811506
不休	-12.034706
不但	-9.638632
不佞	-16.476624
不依	-13.175594
不便	-11.216090
不倒翁	-15.037215
不光	-12.549883
不免	-11.431816
不公	-13.180912
不凡	-12.264475
不列颠	-14.075701
不利	-10.493728
不力	-14.406696
不动产	-12.521861
不单	-13.091273
不厌	-12.786425
不及	-11.486362
不只	-12.562691
不可	-8.548692
不可抗力	-13.089060
不合	-11.528006
不吝	-13.310647
不啻	-13.295838
不善	-11.856979
不在	-13.619752
不在乎	-11.692285
不堪	-10.860770
不够	-9.812784
不失为	-12.698921
不如	-9.788419
不妨	-10.819671
不孝	-13.577497
不安	-10.506502
不定	-10.707130
不定根	-15.899318
不宜	-10.780453
不容	-10.853438
不对	-13.191425
不对劲	-13.043898
不尽然	-15.142860
不屈	-12.568211
不屑	-11.762091
不已	-11.300622
不平	-11.833593
不幸	-10.628304
不当	-11.516560
不待	-13.121083
不得	-8.629761
不得已	-12.209986
不必	-9.873592
不忍	-11.821083
不快	-12.088126
不忿	-14.743065
不怕	-10.695174
不恤	-15.738424
不惑	-13.923769
不惜	-11.188263
不惟	-15.296715
不惮	-15.450110
不想	-9.533277
不愧	-12.134258
不懈	-11.519436
不成	-11.032293
不成器	-15.519732
不成材	-15.668080
不成话	-16.122263
不拘	-12.784883
不振	-12.840785
不揣	-15.788936
不支	-15.303488
不料	-11.877162
不断	-8.427696
不无	-13.834282
不时	-11.949161
不是	-7.255678
不暇	-13.687277
不曾	-11.088974
不服	-11.533700
不朽	-12.456511
不来梅	-14.173928
不止	-10.857691
不比	-12.614367
不法	-12.492604
不测	-13.548386
不济	-13.413321
不济事	-15.941818
不消	-14.087229
不满	-10.659281
不然	-10.650388
不爽	-12.572792
不犯	-13.783998
不独	-15.204928
不甘	-11.864982
不用	-9.594054
不由	-11.049223
不由得	-11.639743
不祥	-13.069274
不禁	-10.415593
不离	-12.547245
不符	-11.698317
不等	-15.502047
不等式	-14.030026
不管	-9.587774
不织布	-16.369804
不经意	-12.170700
不置	-14.918104
不羁	-13.176488
不肖	-13.260863
不胜	-12.052865
不致	-11.871912
不良	-10.009048
不苟	-14.093580
不虞	-14.581934
不行	-10.610188
不要	-8.449655
不要紧	-13.168735
不见	-10.000786
不计	-12.152625
不讳	-13.038630
不许	-11.331119
不论	-10.521389
不详	-13.201805
不赀	-16.314043
不赖	-14.553225
不足	-9.252499
不足道	-15.587666
不轨	-13.990203
不辞	-13.143404
不过	-8.469525
不迭	-13.697774
不适	-11.798285
不逊	-13.462473
不逞	-16.257824
不速之客	-13.832378
不逮	-14.742638
不遂	-15.291019
不遑	-14.660233
不配	-12.943720
不锈钢	-11.498792
不错	-9.658886
不韪	-14.957382
不顾	-11.011453
不齿	-14.250859
与	-6.054728
与世长辞	-15.089419
与人为善	-15.148020
与会	-11.353910
与共	-14.540095
与其	-10.674298
与日俱增	-13.272184
与虎谋皮	-16.226685
与闻	-16.677456
丏	-13.272954
丐	-11.657207
丑	-10.852242
丑事	-14.296030
丑八怪	-14.995980
丑剧	-15.218906
丑化	-14.059909
丑态	-14.435066
丑恶	-12.711978
丑时	-16.576738
丑类	-16.716459
丑行	-14.862134
丑角	-14.563542
丑话	-16.596390
丑闻	-12.028269
丑陋	-12.425001
丒	-15.584052
专	-9.123453
专一	-13.835345
专业	-8.008821
专业户	-13.386221
专业课	-12.494753
专书	-15.759048
专人	-11.894443
专任	-13.832432
专使	-15.652971
专修	-13.270809
专刊	-13.361610
专列	-13.443973
专利	-9.793698
专制	-11.306661
专区	-12.115455
专卖	-11.862411
专卖店	-11.652627
专号	-15.652894
专员	-12.355726
专场	-12.443865
专家	-8.661109
专差	-16.874918
专心	-12.129044
专心致志	-13.887819
专擅	-16.006016
专攻	-13.710936
专政	-12.339315
专文	-15.008389
专断	-14.631345
专机	-13.299245
专权	-14.169277
专柜	-12.871886
专栏	-11.496615
专案	-12.253811
专横	-13.909075
专款	-13.141960
专注	-11.733313
专用	-10.011459
专电	-13.190746
专科	-10.754266
专程	-12.052478
专线	-12.018529
专署	-14.861658
专美	-16.441643
专职	-11.481717
专著	-12.218925
专访	-11.813745
专诚	-15.600729
专责	-13.977600
专车	-13.372861
专递	-13.407178
专长	-12.472097
专门	-9.387998
专集	-13.218189
专项	-10.313078
专题	-10.147574
且	-8.457411
且慢	-14.705132
且说	-13.269558
丕	-11.214276
世	-8.328861
世上	-11.157309
世事	-12.615129
